 

stn;time;tre200nn;qtre200nn;mtre200nn
INNSWZ;20190114;1.8;0;0
INNSWZ;20190115;0.9;0;0
INNSWZ;20190116;-3.1;0;0
INNSWZ;20190117;-;-;-
INNSWZ;20190118;-2.2;0;0
INNSWZ;20190119;-6.5;0;0
INNSWZ;20190120;-4.7;0;0
INNSWZ;20190121;-1.9;0;0
INNSWZ;20190122;-5.2;0;0
INNSWZ;20190123;-7.8;0;0
INNSWZ;20190124;-2.7;0;0
INNSWZ;20190125;-;-;-
INNSWZ;20190126;-4.7;0;0
INNSWZ;20190127;-1.0;0;0
INNSWZ;20190128;0.9;0;0
INNSWZ;20190129;-0.4;0;0
INNSWZ;20190130;-3.6;0;0
INNSWZ;20190131;-6.1;0;0
INNSWZ;20190201;0.9;0;0
INNSWZ;20190202;2.0;0;0
INNSWZ;20190203;0.3;0;0
INNSWZ;20190204;-4.0;0;0
INNSWZ;20190205;-4.8;0;0
INNSWZ;20190206;-3.5;0;0
INNSWZ;20190207;-3.1;0;0
INNSWZ;20190208;-1.0;0;0
INNSWZ;20190209;-1.2;0;0
INNSWZ;20190210;2.0;0;0
INNSWZ;20190211;2.4;0;0
INNSWZ;20190212;0.2;0;0
INNSWZ;20190213;-3.0;0;0
INNSWZ;20190214;-1.6;0;0
INNSWZ;20190215;-1.9;0;0
INNSWZ;20190216;-1.4;0;0
INNSWZ;20190217;-0.2;0;0
INNSWZ;20190218;-0.9;0;0
INNSWZ;20190219;0.2;0;0
INNSWZ;20190220;0.0;0;0
INNSWZ;20190221;1.0;0;0
INNSWZ;20190222;3.5;0;0
INNSWZ;20190223;-;-;-
INNSWZ;20190224;-0.8;0;0
INNSWZ;20190225;-0.5;0;0
INNSWZ;20190226;0.0;0;0
INNSWZ;20190227;0.4;0;0
INNSWZ;20190228;2.5;0;0
INNSWZ;20190301;6.6;0;0
INNSWZ;20190302;4.2;0;0
INNSWZ;20190303;3.3;0;0
INNSWZ;20190304;5.0;0;0
INNSWZ;20190305;2.5;0;0
INNSWZ;20190306;1.4;0;0
